address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Dubai Healthcare City",poi,114826,25.231604314693,55.320872068405,Dubai,"Dr. Sulaiman Al Habib Hospital مستشفى الدكتور سليمان الحبيب",4b5441d0f964a520beb527e3,0,Hospital,http://tour-pedia.org/api/getPlaceDetails?id=114826,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114826
"Al Wasl",poi,114834,25.199839355152,55.262424726285,Dubai,"DEWA Customer Service Center",4b55b4faf964a5209cec27e3,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=114834,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114834
"SZR, Behind the EPPCO Station next to the RTA Bldg",poi,114837,25.122206482527,55.205225944519,Dubai,"RTA Licensing Agency مؤسسة الرخص في هيئة الطرق والمواصلات",4b569838f964a5202c1628e3,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=114837,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114837
"Dubai Media City",poi,114848,25.095872075092,55.156713429644,Dubai,"Media City Free Parking",4b590432f964a520a27828e3,0,Parking,http://tour-pedia.org/api/getPlaceDetails?id=114848,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114848
"Emirates Towers Hotel",poi,114862,25.218519,55.282367,Dubai,"Godolphin Ballroom",4b5c3f5af964a520822829e3,0,"Convention Center",http://tour-pedia.org/api/getPlaceDetails?id=114862,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114862
114871,"American Hospital","Dubai - United Arab Emirates",poi,Dubai,25.235661,55.313312,http://tour-pedia.org/api/getPlaceDetails?id=114871,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114871
"Sheikh Zayed Rd",poi,114878,25.020689749951,55.098773335186,Dubai,"Dubai Bound, SZ Road",4b612052f964a5208c0a2ae3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=114878,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114878
"Knowledge Village",poi,114903,25.103398858316,55.163040161133,Dubai,"KV Convention Centre",4b659aecf964a5201cf62ae3,0,"Convention Center",http://tour-pedia.org/api/getPlaceDetails?id=114903,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114903
"Mall of the Emirates",poi,114921,25.1186705592,55.199046134949,Dubai,Borders,4b6aa6d6f964a520cbda2be3,0,Bookstore,http://tour-pedia.org/api/getPlaceDetails?id=114921,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114921
"Sheikh Zayed Rd",poi,114948,25.186990504808,55.257200824892,Dubai,"Emirates Holidays",4b6e4000f964a52041b42ce3,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=114948,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114948
Satwa,poi,114952,25.228842,55.274818,Dubai,"Typing Shops for the Medical Center",4b6ef075f964a52025d22ce3,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=114952,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114952
,poi,114953,25.231039344912,55.2760634092,Dubai,"Satwa Medical Center (Visa Renewal)",4b6ef3def964a520e7d22ce3,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=114953,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114953
Jumeirah,poi,114955,25.210027697181,55.246510505676,Dubai,"Jumeirah Road شارع جميرا",4b702a1bf964a520a4092de3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=114955,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114955
114958,"Bur Dubai Police Station","Dubai - United Arab Emirates",poi,Dubai,25.231789,55.289124,http://tour-pedia.org/api/getPlaceDetails?id=114958,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114958
"Banyias Street, Opposite Land Department and DED",poi,114973,25.259882035372,55.315411090851,Dubai,"Dubai Chamber of Commerce & Industry غرفة تجارة وصناعة دبي",4b73ca7ef964a520f5bb2de3,0,"Embassy / Consulate",http://tour-pedia.org/api/getPlaceDetails?id=114973,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114973
"Umm Suqqeim",poi,114996,25.165932038206,55.233044408033,Dubai,"Top Medical Clinic",4b792a10f964a52090ed2ee3,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=114996,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114996
,poi,115001,25.137202806502,55.214272166827,Dubai,"Street 33",4b7aef8df964a52034472fe3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115001,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115001
,poi,115002,25.119203,55.204332,Dubai,"Double Decker Bus RTA",4b7c15d3f964a520047c2fe3,0,"Bus Station",http://tour-pedia.org/api/getPlaceDetails?id=115002,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115002
"Sheikh Zayed Rd",poi,115007,25.210983827159,55.275639295578,Dubai,"Financial Center Metro Station محطة مترو المركز المالي",4b7d0e48f964a52054ad2fe3,0,"Train Station",http://tour-pedia.org/api/getPlaceDetails?id=115007,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115007
"Red Line (19) Interchange with Green Line (26)",poi,115020,25.25472965352,55.304274559021,Dubai,"Burjuman Station | محطة برجمان",4b7fed55f964a520e14430e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=115020,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115020
"Port Rashid",poi,115036,25.272656,55.280326,Dubai,"Costa Deliziosa",4b83fbdef964a520a51931e3,0,"Boat or Ferry",http://tour-pedia.org/api/getPlaceDetails?id=115036,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115036
Ghusais,poi,115056,25.272585,55.372932,Dubai,"Zulekha Hospital, Ghusais",4b88ce54f964a520420e32e3,0,Hospital,http://tour-pedia.org/api/getPlaceDetails?id=115056,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115056
,poi,115063,25.186316140099,55.238234470327,Dubai,"Al Safa Community Medical Centre",4b8940f1f964a520332632e3,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=115063,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115063
"Um al Romool",poi,115066,25.234321745886,55.3560090065,Dubai,"RTA Headquarters المقر الرئيسي لهيئة الطرق والمواصلات",4b8a2f2af964a520376332e3,0,"City Hall",http://tour-pedia.org/api/getPlaceDetails?id=115066,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115066
